edge_id,from_node_id,to_node_id,relationship,observation_id,cell_id,evidence_basis
edge:17bca1fdcf004a6afca3,source_record:192aacf02d8179c6f75a,observation:c0e44bfaff03fb3d0e85,record_sources_observation,69a1ecde0bf18c3a84ae,af12d1ae8c1555d899be,H6 source_record_id carried by the observation
edge:1c3b99d0b1335a5cede1,source_record:a2585ae02f3eb15eab0e,observation:04df2a67b487f338de1b,record_sources_observation,5fab5a82719cacffcbe4,1c03a76cb6a98f53235d,H6 source_record_id carried by the observation
edge:1df15a42b5ac6f421de3,source_record:87c903ae7b46a49c415f,observation:e19175cc2d07bb652fd5,record_sources_observation,69745dd19d776c69570e,425bfdd5ca02ab3e3cc1,H6 source_record_id carried by the observation
edge:1ff94b76e1be297a6727,source_record:26de36e57a1c215a6f55,observation:31d333568319d88d97b2,record_sources_observation,a16c09b869c2ad72a4ea,4aab4307f4906503d2a4,H6 source_record_id carried by the observation
edge:2000315db556dd957f03,source_record:621b059bcf550a1ead3a,observation:3f64e0aa5f69399e8a04,record_sources_observation,09bd4158de9b28a03d83,1c03a76cb6a98f53235d,H6 source_record_id carried by the observation
edge:35778c5d407e8c7b8b9d,source_record:3edd79e5e5b56f709897,observation:c8d559d64c4d785c41a3,record_sources_observation,1721995859418ecf608c,3087bf08970908c509ca,H6 source_record_id carried by the observation
edge:3bb5c1773d92206072f6,source_record:55f9eca0640826e24f9c,observation:5577ee9eb9f8775867ee,record_sources_observation,d99bc3566095bc6ee582,7e097ceb497e25947325,H6 source_record_id carried by the observation
edge:419b041a6cc99049a96f,source_record:582a11702e2e666dfc87,observation:4d4d1e51259f85b21f1d,record_sources_observation,e06e475e6f5cb8748897,4aab4307f4906503d2a4,H6 source_record_id carried by the observation
edge:5c74117bf4ac800b58bb,source_record:c5368ca23455a251f941,observation:f99fdeebfc608df3a8bb,record_sources_observation,e313de2e0e1a97bc17ff,7e097ceb497e25947325,H6 source_record_id carried by the observation
edge:5f6b672c0b712d409c63,source_record:010ca4a0b9492cf8f0be,observation:294d2d83bf86fa753446,record_sources_observation,6fbf4aae1b9a6de0051a,94651a48df17d3b56a1b,H6 source_record_id carried by the observation
edge:631ed43ec900d2792911,source_record:193147b5654f5049a70b,observation:c8636f1fbb21ce328ae5,record_sources_observation,b55b4fefc9148be667c1,94651a48df17d3b56a1b,H6 source_record_id carried by the observation
edge:6495d85fd4357a615671,source_record:0ee5489cd01f22e5a51c,observation:1ecfe2896341b81743b9,record_sources_observation,edde0b27f2f31f5fb962,5b5eeef107bb6f124496,H6 source_record_id carried by the observation
edge:658e7469f723f1b585f5,source_record:f6a04a1c01641dfdfadc,observation:96242f6669896b9035de,record_sources_observation,df8ae4a2843995c9185d,3087bf08970908c509ca,H6 source_record_id carried by the observation
edge:6a31d3a09e219a1237fe,source_record:d51908b14d4f43919f94,observation:3a58dba97aae26b9300b,record_sources_observation,cb0d5147421c66597d95,7c1c5248808f73b2f3a6,H6 source_record_id carried by the observation
